match_number,round_number,date,location,home_team,away_team,result
16,1,09/09/2022 00:20,SoFi Stadium,Los Angeles Rams,Buffalo Bills,
7,1,11/09/2022 17:00,Mercedes-Benz Stadium,Atlanta Falcons,New Orleans Saints,
8,1,11/09/2022 17:00,Bank of America Stadium,Carolina Panthers,Cleveland Browns,
9,1,11/09/2022 17:00,Soldier Field,Chicago Bears,San Francisco 49ers,
10,1,11/09/2022 17:00,Paul Brown Stadium,Cincinnati Bengals,Pittsburgh Steelers,
11,1,11/09/2022 17:00,Ford Field,Detroit Lions,Philadelphia Eagles,
12,1,11/09/2022 17:00,NRG Stadium,Houston Texans,Indianapolis Colts,
13,1,11/09/2022 17:00,Hard Rock Stadium,Miami Dolphins,New England Patriots,
14,1,11/09/2022 17:00,MetLife Stadium,New York Jets,Baltimore Ravens,
15,1,11/09/2022 17:00,FedExField,Washington Commanders,Jacksonville Jaguars,
3,1,11/09/2022 20:25,Nissan Stadium,Tennessee Titans,New York Giants,
4,1,11/09/2022 20:25,State Farm Stadium,Arizona Cardinals,Kansas City Chiefs,
5,1,11/09/2022 20:25,SoFi Stadium,Los Angeles Chargers,Las Vegas Raiders,
6,1,11/09/2022 20:25,U.S. Bank Stadium,Minnesota Vikings,Green Bay Packers,
2,1,12/09/2022 00:20,AT&T Stadium,Dallas Cowboys,Tampa Bay Buccaneers,
1,1,13/09/2022 00:15,Lumen Field,Seattle Seahawks,Denver Broncos,
32,2,16/09/2022 00:15,GEHA Field at Arrowhead Stadium,Kansas City Chiefs,Los Angeles Chargers,
25,2,18/09/2022 17:00,M&T Bank Stadium,Baltimore Ravens,Miami Dolphins,
26,2,18/09/2022 17:00,FirstEnergy Stadium,Cleveland Browns,New York Jets,
27,2,18/09/2022 17:00,Ford Field,Detroit Lions,Washington Commanders,
28,2,18/09/2022 17:00,TIAA Bank Field,Jacksonville Jaguars,Indianapolis Colts,
29,2,18/09/2022 17:00,Caesars Superdome,New Orleans Saints,Tampa Bay Buccaneers,
30,2,18/09/2022 17:00,MetLife Stadium,New York Giants,Carolina Panthers,
31,2,18/09/2022 17:00,Acrisure Stadium,Pittsburgh Steelers,New England Patriots,
23,2,18/09/2022 20:05,SoFi Stadium,Los Angeles Rams,Atlanta Falcons,
24,2,18/09/2022 20:05,Levi's Stadium,San Francisco 49ers,Seattle Seahawks,
20,2,18/09/2022 20:25,AT&T Stadium,Dallas Cowboys,Cincinnati Bengals,
21,2,18/09/2022 20:25,Empower Field at Mile High,Denver Broncos,Houston Texans,
22,2,18/09/2022 20:25,Allegiant Stadium,Las Vegas Raiders,Arizona Cardinals,
19,2,19/09/2022 00:20,Lambeau Field,Green Bay Packers,Chicago Bears,
18,2,19/09/2022 23:15,Highmark Stadium,Buffalo Bills,Tennessee Titans,
17,2,20/09/2022 00:30,Lincoln Financial Field,Philadelphia Eagles,Minnesota Vikings,
48,3,23/09/2022 00:15,FirstEnergy Stadium,Cleveland Browns,Pittsburgh Steelers,
39,3,25/09/2022 17:00,Bank of America Stadium,Carolina Panthers,New Orleans Saints,
40,3,25/09/2022 17:00,Soldier Field,Chicago Bears,Houston Texans,
41,3,25/09/2022 17:00,Lucas Oil Stadium,Indianapolis Colts,Kansas City Chiefs,
42,3,25/09/2022 17:00,Hard Rock Stadium,Miami Dolphins,Buffalo Bills,
43,3,25/09/2022 17:00,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,
44,3,25/09/2022 17:00,Gillette Stadium,New England Patriots,Baltimore Ravens,
